epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5624,0.78237,1.37559,1.02606,0.51559,0.85154,0.6143,0.51264,0.64237,2.65866,1.01767,0.000552663,0.000552663,0.000552663
2,73.0181,0.80658,0.72839,1.05242,0.91259,0.8325,0.9116,0.78072,0.62304,1.23817,0.97446,0.00109736,0.00109736,0.00109736
3,111.668,0.78882,0.6807,1.04129,0.91556,0.73554,0.89203,0.77656,0.57129,2.90553,0.95957,0.00163105,0.00163105,0.00163105
4,147.324,0.78239,0.65659,1.03633,0.88276,0.82165,0.92975,0.81636,0.56213,0.63618,0.92229,0.00161749,0.00161749,0.00161749
5,186.192,0.73236,0.59487,1.01728,0.89893,0.89297,0.9416,0.81341,0.57679,0.57424,0.95088,0.00160099,0.00160099,0.00160099
6,224.777,0.69242,0.56416,1.00109,0.92076,0.93175,0.96072,0.86092,0.51347,0.45875,0.90751,0.00158448,0.00158448,0.00158448
7,263.427,0.67776,0.55074,0.99565,0.94312,0.92004,0.96237,0.85978,0.48874,0.4376,0.8993,0.00156798,0.00156798,0.00156798
8,302.043,0.64365,0.50457,0.97766,0.9571,0.96369,0.96586,0.89371,0.43037,0.35586,0.86345,0.00155148,0.00155148,0.00155148
9,340.828,0.64036,0.50844,0.974,0.96064,0.95982,0.96679,0.89167,0.42186,0.38783,0.86506,0.00153497,0.00153497,0.00153497
10,379.298,0.63269,0.50178,0.97347,0.92572,0.92097,0.96119,0.875,0.43904,0.42337,0.8765,0.00151847,0.00151847,0.00151847
11,417.894,0.61546,0.48652,0.96169,0.96951,0.96891,0.97467,0.90728,0.38888,0.32035,0.85196,0.00150197,0.00150197,0.00150197
12,456.529,0.59082,0.46028,0.95477,0.97335,0.96793,0.97005,0.92246,0.36086,0.31358,0.84351,0.00148546,0.00148546,0.00148546
13,495.367,0.58133,0.44931,0.94506,0.97448,0.97697,0.97725,0.93195,0.35132,0.29961,0.8397,0.00146896,0.00146896,0.00146896
14,533.929,0.58318,0.45698,0.95094,0.95119,0.97435,0.97026,0.91629,0.37291,0.3192,0.84779,0.00145246,0.00145246,0.00145246
15,572.431,0.56682,0.43972,0.94251,0.96093,0.97297,0.97618,0.9262,0.37339,0.29763,0.84442,0.00143595,0.00143595,0.00143595
16,611.024,0.56781,0.43819,0.94405,0.971,0.98452,0.97336,0.93395,0.34943,0.29932,0.83873,0.00141945,0.00141945,0.00141945
17,649.593,0.54469,0.41343,0.93386,0.973,0.97095,0.97279,0.92929,0.34995,0.29421,0.83973,0.00140295,0.00140295,0.00140295
18,688.278,0.55543,0.42646,0.9436,0.94673,0.93538,0.95813,0.90207,0.35194,0.35672,0.84298,0.00138644,0.00138644,0.00138644
19,727.004,0.55414,0.41691,0.93264,0.96957,0.97803,0.97111,0.93104,0.33621,0.2808,0.83131,0.00136994,0.00136994,0.00136994
20,765.464,0.54072,0.41154,0.93464,0.96839,0.98055,0.97295,0.93695,0.3275,0.27776,0.83325,0.00135344,0.00135344,0.00135344
21,804.518,0.5311,0.39312,0.92801,0.96347,0.98285,0.97562,0.93927,0.33152,0.28297,0.83755,0.00133693,0.00133693,0.00133693
22,843.217,0.52147,0.39164,0.92498,0.96246,0.98625,0.97318,0.9312,0.34182,0.28313,0.83806,0.00132043,0.00132043,0.00132043
23,882.019,0.51257,0.37896,0.91746,0.95896,0.97969,0.97524,0.941,0.32745,0.27886,0.82866,0.00130393,0.00130393,0.00130393
24,920.631,0.50725,0.39031,0.91731,0.96977,0.98264,0.9709,0.93305,0.33992,0.28006,0.83161,0.00128742,0.00128742,0.00128742
25,959.262,0.51088,0.38171,0.91702,0.97128,0.97945,0.97241,0.93792,0.32073,0.2647,0.82669,0.00127092,0.00127092,0.00127092
26,997.957,0.50743,0.38223,0.91735,0.9719,0.98285,0.97266,0.94378,0.31062,0.26205,0.8255,0.00125442,0.00125442,0.00125442
27,1036.51,0.49807,0.37313,0.9147,0.96979,0.97945,0.97381,0.94344,0.32283,0.26019,0.83218,0.00123791,0.00123791,0.00123791
28,1075.18,0.50133,0.37384,0.91296,0.97438,0.9855,0.97697,0.94782,0.30916,0.25171,0.82081,0.00122141,0.00122141,0.00122141
