epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9817,0.39307,0.26646,0.86041,0.98368,0.97575,0.98515,0.93534,0.29588,0.22236,0.82459,0.000471266,0.000471266,0.000471266
2,110.443,0.42253,0.28966,0.86843,0.97449,0.98114,0.98345,0.9292,0.31156,0.23416,0.82301,0.000938218,0.000938218,0.000938218
3,164.25,0.46097,0.31956,0.88173,0.97269,0.96442,0.98207,0.90769,0.37738,0.2908,0.8411,0.00139574,0.00139574,0.00139574
4,217.561,0.48437,0.34256,0.89002,0.97637,0.97021,0.98258,0.91636,0.34843,0.28307,0.8346,0.00138656,0.00138656,0.00138656
5,270.765,0.48311,0.34484,0.89503,0.98609,0.9557,0.97745,0.90403,0.34107,0.29595,0.83563,0.00137241,0.00137241,0.00137241
6,324.891,0.48869,0.34482,0.89538,0.96678,0.977,0.98103,0.90691,0.35529,0.27676,0.85004,0.00135826,0.00135826,0.00135826
7,379.77,0.48818,0.35341,0.89193,0.97558,0.97649,0.97743,0.915,0.33879,0.28342,0.83319,0.00134412,0.00134412,0.00134412
8,433.816,0.48561,0.3428,0.89628,0.96771,0.96167,0.96833,0.89233,0.38133,0.45024,0.84432,0.00132997,0.00132997,0.00132997
9,487.651,0.48334,0.34816,0.89306,0.96765,0.97873,0.98042,0.91028,0.34323,0.27405,0.8388,0.00131582,0.00131582,0.00131582
10,541.51,0.48825,0.34599,0.89218,0.9738,0.97078,0.97782,0.89904,0.35191,0.30347,0.84355,0.00130168,0.00130168,0.00130168
11,595.368,0.47858,0.33701,0.88851,0.98012,0.97728,0.98553,0.92018,0.33971,0.25306,0.83481,0.00128753,0.00128753,0.00128753
