epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6112,0.45891,0.33509,0.88869,0.97039,0.98105,0.98178,0.91813,0.31996,0.26065,0.82817,0.000471266,0.000471266,0.000471266
2,108.913,0.50377,0.37116,0.90437,0.97592,0.96551,0.98166,0.90275,0.35544,0.29485,0.84384,0.000938218,0.000938218,0.000938218
3,166.327,0.55833,0.42242,0.92817,0.95868,0.96007,0.97316,0.88893,0.39283,0.3207,0.85433,0.00139574,0.00139574,0.00139574
4,220.274,0.58749,0.45416,0.93847,0.96775,0.95481,0.973,0.87726,0.42131,0.35509,0.85808,0.00138656,0.00138656,0.00138656
5,273.895,0.58276,0.45784,0.94028,0.95603,0.94657,0.96193,0.86783,0.40476,0.68242,0.86162,0.00137241,0.00137241,0.00137241
6,327.813,0.58743,0.4544,0.94139,0.96049,0.96288,0.97169,0.88544,0.41106,0.3568,0.85474,0.00135826,0.00135826,0.00135826
7,381.491,0.58405,0.45459,0.93633,0.97508,0.968,0.98072,0.89646,0.39091,0.31202,0.85505,0.00134412,0.00134412,0.00134412
8,435.314,0.58071,0.45084,0.94179,0.95794,0.96137,0.97551,0.88318,0.41822,0.35447,0.86252,0.00132997,0.00132997,0.00132997
9,489.206,0.57615,0.45211,0.9375,0.93684,0.93764,0.96369,0.86553,0.4349,0.49911,0.86468,0.00131582,0.00131582,0.00131582
10,543.006,0.57822,0.44074,0.93484,0.97741,0.96668,0.97632,0.88178,0.39662,0.31597,0.85874,0.00130168,0.00130168,0.00130168
11,596.87,0.56316,0.42802,0.92783,0.96847,0.96179,0.96631,0.87977,0.41075,0.42292,0.86953,0.00128753,0.00128753,0.00128753
12,652.964,0.56383,0.42395,0.92882,0.97898,0.97356,0.98062,0.89659,0.38328,0.29729,0.85181,0.00127338,0.00127338,0.00127338
13,707.237,0.565,0.42816,0.92862,0.96411,0.96486,0.97477,0.8836,0.3948,0.32841,0.86475,0.00125923,0.00125923,0.00125923
14,761.098,0.5632,0.4271,0.92727,0.9653,0.96818,0.9708,0.88383,0.39869,0.65883,0.85731,0.00124509,0.00124509,0.00124509
15,815.343,0.55288,0.42363,0.92664,0.97718,0.97292,0.98102,0.90233,0.36665,0.29129,0.84646,0.00123094,0.00123094,0.00123094
16,869.251,0.54796,0.41733,0.92551,0.97278,0.97707,0.97898,0.91168,0.35927,0.28313,0.83886,0.00121679,0.00121679,0.00121679
17,923.063,0.54556,0.40835,0.92036,0.92525,0.9063,0.95782,0.8732,0.38317,0.45695,0.8454,0.00120265,0.00120265,0.00120265
18,977.361,0.5413,0.40637,0.91968,0.98159,0.96694,0.98119,0.8992,0.37639,0.28758,0.86252,0.0011885,0.0011885,0.0011885
19,1031.5,0.53781,0.41014,0.91736,0.97946,0.9718,0.98014,0.90052,0.3595,0.28659,0.84717,0.00117435,0.00117435,0.00117435
20,1085.37,0.53219,0.39946,0.9153,0.97637,0.97221,0.97938,0.90837,0.35896,0.28536,0.8375,0.00116021,0.00116021,0.00116021
21,1139.24,0.5325,0.39518,0.91547,0.97671,0.98208,0.9847,0.91171,0.36015,0.27198,0.83821,0.00114606,0.00114606,0.00114606
22,1193.27,0.52709,0.39489,0.91545,0.97241,0.97893,0.97693,0.904,0.35326,0.27534,0.84026,0.00113191,0.00113191,0.00113191
23,1246.94,0.52184,0.38916,0.91024,0.97929,0.96683,0.98288,0.90385,0.37017,0.28683,0.8383,0.00111776,0.00111776,0.00111776
24,1301.36,0.5367,0.39031,0.91751,0.98114,0.98083,0.98215,0.91234,0.34644,0.25983,0.84083,0.00110362,0.00110362,0.00110362
25,1356.33,0.52847,0.38825,0.91344,0.97695,0.97866,0.98164,0.91323,0.34394,0.27215,0.83932,0.00108947,0.00108947,0.00108947
26,1412.07,0.52171,0.38287,0.90856,0.96761,0.97652,0.98104,0.91785,0.34388,0.28921,0.83664,0.00107532,0.00107532,0.00107532
27,1468.69,0.51535,0.37884,0.90851,0.98069,0.97867,0.98297,0.91936,0.3257,0.2589,0.83386,0.00106118,0.00106118,0.00106118
28,1523.32,0.5114,0.37401,0.9076,0.98054,0.97815,0.98437,0.91762,0.34618,0.2601,0.8356,0.00104703,0.00104703,0.00104703
29,1577.3,0.51348,0.38017,0.91018,0.97579,0.9744,0.98312,0.92,0.33578,0.27097,0.83138,0.00103288,0.00103288,0.00103288
30,1630.81,0.51173,0.37612,0.90606,0.98253,0.97731,0.98666,0.9195,0.33448,0.24682,0.83279,0.00101873,0.00101873,0.00101873
31,1683.91,0.51023,0.36677,0.90614,0.97583,0.98151,0.98265,0.92556,0.32599,0.24965,0.83199,0.00100459,0.00100459,0.00100459
32,1737.28,0.51112,0.36436,0.91045,0.97291,0.98321,0.98009,0.9193,0.32865,0.26508,0.83371,0.00099044,0.00099044,0.00099044
33,1790.52,0.49628,0.35676,0.9018,0.98045,0.98017,0.98557,0.92318,0.33738,0.24354,0.83365,0.000976293,0.000976293,0.000976293
34,1843.68,0.50357,0.36669,0.8999,0.96305,0.98279,0.97449,0.91571,0.32102,0.27854,0.82562,0.000962146,0.000962146,0.000962146
35,1896.89,0.50438,0.36139,0.89955,0.98015,0.97289,0.9848,0.9201,0.33156,0.27423,0.8304,0.000947999,0.000947999,0.000947999
36,1950.16,0.498,0.35699,0.90123,0.98477,0.97604,0.98436,0.92056,0.32776,0.24584,0.82925,0.000933851,0.000933851,0.000933851
37,2003.19,0.49299,0.35138,0.89831,0.97965,0.97805,0.97816,0.92544,0.30439,0.24835,0.82262,0.000919704,0.000919704,0.000919704
38,2056.47,0.49696,0.35378,0.90156,0.97347,0.9802,0.9773,0.91356,0.32121,0.2564,0.82979,0.000905557,0.000905557,0.000905557
39,2109.77,0.49069,0.34834,0.90075,0.97688,0.97642,0.98203,0.91447,0.31816,0.2549,0.82814,0.00089141,0.00089141,0.00089141
40,2163.02,0.48576,0.34603,0.89264,0.97871,0.98023,0.98082,0.92427,0.31446,0.23957,0.82795,0.000877263,0.000877263,0.000877263
41,2216.04,0.48348,0.34841,0.89395,0.9733,0.9792,0.98401,0.92859,0.31173,0.25418,0.82802,0.000863116,0.000863116,0.000863116
42,2269.31,0.48556,0.34573,0.89486,0.98379,0.97824,0.98447,0.92756,0.30689,0.24399,0.82505,0.000848969,0.000848969,0.000848969
43,2322.61,0.48275,0.34259,0.89411,0.97553,0.98077,0.9782,0.92078,0.31258,0.26424,0.82658,0.000834822,0.000834822,0.000834822
44,2375.91,0.48039,0.33573,0.89203,0.98291,0.97093,0.98767,0.9279,0.31482,0.25951,0.82745,0.000820675,0.000820675,0.000820675
45,2429.24,0.47365,0.33842,0.89295,0.98273,0.98094,0.98301,0.92867,0.30881,0.24126,0.82563,0.000806528,0.000806528,0.000806528
46,2482.5,0.47105,0.3374,0.88983,0.98289,0.97735,0.98446,0.93217,0.30776,0.24103,0.82723,0.00079238,0.00079238,0.00079238
47,2535.76,0.46729,0.32888,0.89039,0.98163,0.97111,0.98396,0.9261,0.31163,0.24989,0.82997,0.000778233,0.000778233,0.000778233
48,2589.08,0.4619,0.33428,0.88689,0.98208,0.97866,0.98711,0.93165,0.30702,0.23347,0.82438,0.000764086,0.000764086,0.000764086
49,2642.34,0.46771,0.32567,0.88835,0.98144,0.97749,0.98256,0.92463,0.3037,0.22962,0.82526,0.000749939,0.000749939,0.000749939
50,2695.54,0.46318,0.32748,0.88487,0.97684,0.98186,0.98427,0.9302,0.30496,0.23536,0.82905,0.000735792,0.000735792,0.000735792
51,2748.89,0.47264,0.32903,0.88947,0.97693,0.97534,0.98211,0.92776,0.30353,0.24333,0.82785,0.000721645,0.000721645,0.000721645
52,2802.14,0.45778,0.32411,0.88427,0.97725,0.9786,0.97879,0.928,0.30212,0.24521,0.82528,0.000707498,0.000707498,0.000707498
53,2855.17,0.46117,0.32114,0.8879,0.98446,0.97953,0.98232,0.92893,0.2984,0.23099,0.81986,0.000693351,0.000693351,0.000693351
54,2908.38,0.45329,0.31624,0.88509,0.98411,0.98062,0.98376,0.93212,0.29861,0.22718,0.82415,0.000679204,0.000679204,0.000679204
55,2961.72,0.45353,0.31993,0.88123,0.9873,0.97271,0.98694,0.93365,0.29863,0.23148,0.82493,0.000665057,0.000665057,0.000665057
56,3015.06,0.45255,0.31629,0.8858,0.97616,0.98317,0.98104,0.92571,0.29541,0.23638,0.82254,0.000650909,0.000650909,0.000650909
57,3068.67,0.4533,0.31686,0.88111,0.98317,0.97662,0.98408,0.92933,0.29951,0.22837,0.82479,0.000636762,0.000636762,0.000636762
58,3121.97,0.44912,0.30901,0.88432,0.98319,0.98075,0.98397,0.9325,0.29551,0.22398,0.82171,0.000622615,0.000622615,0.000622615
59,3175.08,0.44989,0.30835,0.88008,0.98194,0.97945,0.98357,0.93182,0.29036,0.21779,0.8208,0.000608468,0.000608468,0.000608468
60,3228.29,0.44802,0.31145,0.87794,0.98147,0.97716,0.9837,0.93227,0.29117,0.22214,0.82046,0.000594321,0.000594321,0.000594321
61,3281.37,0.44813,0.30506,0.88101,0.97889,0.98235,0.9847,0.93562,0.28544,0.21299,0.81923,0.000580174,0.000580174,0.000580174
62,3334.47,0.44066,0.30507,0.87764,0.97841,0.98305,0.98385,0.93506,0.29123,0.2262,0.8196,0.000566027,0.000566027,0.000566027
63,3387.51,0.44037,0.30648,0.8769,0.98437,0.97611,0.98624,0.93669,0.2907,0.21362,0.8212,0.00055188,0.00055188,0.00055188
64,3441.06,0.43947,0.29785,0.87821,0.97966,0.97902,0.9845,0.93445,0.28762,0.22109,0.82057,0.000537733,0.000537733,0.000537733
65,3494.18,0.43902,0.30252,0.87737,0.9814,0.97782,0.98393,0.93442,0.28855,0.21908,0.82073,0.000523586,0.000523586,0.000523586
66,3547.55,0.43303,0.29794,0.8757,0.98236,0.97963,0.98462,0.93538,0.28706,0.21526,0.82088,0.000509438,0.000509438,0.000509438
67,3600.69,0.42235,0.29307,0.87328,0.97951,0.97957,0.98257,0.93471,0.2867,0.22592,0.8222,0.000495291,0.000495291,0.000495291
68,3653.99,0.43203,0.29525,0.87367,0.98041,0.97559,0.9843,0.93514,0.28937,0.21604,0.81809,0.000481144,0.000481144,0.000481144
69,3707.08,0.4301,0.28761,0.87492,0.97777,0.98222,0.98505,0.93795,0.28506,0.21103,0.81906,0.000466997,0.000466997,0.000466997
70,3760.38,0.42387,0.28854,0.87227,0.98255,0.97818,0.98659,0.93901,0.28688,0.21573,0.81962,0.00045285,0.00045285,0.00045285
