epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2792.7,0.51873,0.4017,0.91748,0.97947,0.96119,0.98109,0.88441,0.55707,0.3201,0.94284,0.000848969,0.000848969,0.000848969
43,2859.09,0.52224,0.39512,0.91751,0.97205,0.96821,0.97959,0.88748,0.54039,0.32057,0.96148,0.000834822,0.000834822,0.000834822
44,2924.42,0.51798,0.39091,0.91656,0.96802,0.97322,0.97472,0.88305,0.56027,0.34359,0.95771,0.000820675,0.000820675,0.000820675
45,2989.81,0.5049,0.38603,0.90883,0.97858,0.9647,0.98004,0.88495,0.55073,0.32932,0.95549,0.000806528,0.000806528,0.000806528
46,3054.91,0.50721,0.38833,0.9116,0.97472,0.97174,0.97698,0.88248,0.54872,0.32478,0.95591,0.00079238,0.00079238,0.00079238
47,3119.81,0.50725,0.38894,0.91113,0.97219,0.97174,0.97433,0.88807,0.53488,0.3218,0.95081,0.000778233,0.000778233,0.000778233
48,3184.77,0.50062,0.3781,0.90767,0.97355,0.97173,0.97746,0.89366,0.51815,0.30887,0.94852,0.000764086,0.000764086,0.000764086
49,3250.04,0.49396,0.38104,0.90495,0.97635,0.96842,0.97919,0.89662,0.53527,0.31395,0.94571,0.000749939,0.000749939,0.000749939
50,3315.1,0.48992,0.37331,0.90453,0.97678,0.96587,0.98023,0.89721,0.5381,0.3185,0.95038,0.000735792,0.000735792,0.000735792
51,3380.21,0.49488,0.36787,0.90277,0.97624,0.96767,0.97657,0.89378,0.54254,0.31179,0.95762,0.000721645,0.000721645,0.000721645
52,3445.47,0.49558,0.37457,0.90474,0.95928,0.97641,0.98029,0.89202,0.52548,0.31829,0.94419,0.000707498,0.000707498,0.000707498
53,3510.55,0.48514,0.36308,0.90161,0.96985,0.97047,0.97659,0.89362,0.51937,0.31323,0.94226,0.000693351,0.000693351,0.000693351
54,3575.4,0.49306,0.36985,0.90382,0.96974,0.97173,0.98063,0.89571,0.5172,0.30591,0.93923,0.000679204,0.000679204,0.000679204
55,3640.49,0.48547,0.36035,0.90232,0.96875,0.9729,0.97496,0.89423,0.52104,0.31201,0.93891,0.000665057,0.000665057,0.000665057
56,3705.54,0.47885,0.35717,0.89686,0.97059,0.97776,0.97707,0.8973,0.51685,0.30441,0.937,0.000650909,0.000650909,0.000650909
57,3770.36,0.48566,0.3591,0.89919,0.96932,0.96585,0.97152,0.88936,0.52597,0.31799,0.93956,0.000636762,0.000636762,0.000636762
58,3835.62,0.47352,0.35525,0.89454,0.97012,0.96704,0.97886,0.89857,0.52233,0.30763,0.94544,0.000622615,0.000622615,0.000622615
59,3900.71,0.4683,0.35161,0.89349,0.97634,0.9641,0.97316,0.89581,0.50683,0.30791,0.93777,0.000608468,0.000608468,0.000608468
60,3965.6,0.47302,0.34055,0.89587,0.97632,0.96821,0.98289,0.90193,0.51142,0.29882,0.95005,0.000594321,0.000594321,0.000594321
