epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7208,0.83676,1.39248,1.05747,0.72467,0.57874,0.70162,0.53729,0.81239,1.21259,1.07729,0.00047208,0.00047208,0.00047208
2,111.979,0.89851,0.91794,1.09596,0.81902,0.77647,0.83547,0.64717,0.78439,1.3893,1.10766,0.000939024,0.000939024,0.000939024
3,167.562,0.92679,0.89342,1.11021,0.82742,0.87015,0.92193,0.73771,0.68343,0.80596,0.98578,0.00139654,0.00139654,0.00139654
4,222.596,0.84718,0.78625,1.06916,0.90186,0.87972,0.9477,0.79057,0.56078,0.54389,0.92902,0.00138656,0.00138656,0.00138656
5,277.584,0.81577,0.74489,1.06056,0.93362,0.90941,0.96234,0.82222,0.5334,0.49836,0.91211,0.00137241,0.00137241,0.00137241
6,332.372,0.78592,0.70356,1.04646,0.90554,0.93077,0.96177,0.81925,0.50507,0.46784,0.9022,0.00135826,0.00135826,0.00135826
7,385.791,0.76939,0.68633,1.03247,0.9182,0.95335,0.96136,0.83628,0.49808,0.4776,0.89788,0.00134412,0.00134412,0.00134412
8,439.554,0.74525,0.65431,1.02108,0.93134,0.95598,0.97328,0.84285,0.49704,0.38406,0.89283,0.00132997,0.00132997,0.00132997
9,494.532,0.72822,0.63409,1.01753,0.94407,0.96108,0.97097,0.85208,0.44837,0.38624,0.87881,0.00131582,0.00131582,0.00131582
10,549.238,0.71723,0.62325,1.00632,0.93191,0.95647,0.97495,0.85064,0.47302,0.37713,0.87439,0.00130168,0.00130168,0.00130168
11,603.184,0.69916,0.60402,0.9981,0.93982,0.94499,0.96875,0.85867,0.45763,0.38151,0.88355,0.00128753,0.00128753,0.00128753
12,657.886,0.7008,0.583,0.99953,0.95803,0.9611,0.97497,0.859,0.44069,0.35742,0.8737,0.00127338,0.00127338,0.00127338
13,713.105,0.68459,0.58359,0.99436,0.95168,0.93307,0.97951,0.86307,0.43661,0.37718,0.87292,0.00125923,0.00125923,0.00125923
14,768.225,0.67848,0.57308,0.98508,0.96164,0.94818,0.97755,0.87925,0.41951,0.34162,0.8769,0.00124509,0.00124509,0.00124509
15,821.515,0.65855,0.55885,0.9805,0.95205,0.97674,0.98028,0.88452,0.40709,0.32934,0.86628,0.00123094,0.00123094,0.00123094
16,876.182,0.65797,0.54913,0.98011,0.95659,0.97882,0.98293,0.8673,0.43987,0.32938,0.86939,0.00121679,0.00121679,0.00121679
17,930.363,0.64562,0.53409,0.97367,0.9651,0.97264,0.9766,0.88262,0.39386,0.33769,0.86128,0.00120265,0.00120265,0.00120265
18,983.734,0.64681,0.54022,0.97434,0.96472,0.97185,0.97518,0.89218,0.37675,0.3167,0.85218,0.0011885,0.0011885,0.0011885
19,1037.04,0.63236,0.51676,0.9676,0.95714,0.9765,0.97527,0.88115,0.4142,0.3324,0.85566,0.00117435,0.00117435,0.00117435
20,1089.34,0.63824,0.52191,0.9708,0.95741,0.98089,0.98386,0.88245,0.3914,0.31557,0.85911,0.00116021,0.00116021,0.00116021
